resto_id,name,cuisine_type,is_official,lat,long,location,average_price,overall_rating,rating_rasa,rating_suasana,rating_harga_rasa,rating_pelayanan,rating_kebersihan,open_time,payment_method,wifi,delivery,smoking_area,outdor_area,24hour,100%_halal,VIP_room,reservation,parking_area,alcohol,vegetarian
1642423655498249,Kuro - Kuro,[ Indonesia ],False,-6.899058,107.608982," Jl. Kebon Kembang (Samping Balubur Town Square), Dago Bawah, Bandung ", Di bawah Rp. 50.000 /orang ,3.5,4.5,3.0,3.5,3.5,3.0,Senin - Minggu (07:00 - 17:00),Tunai,no,no,yes,no,no,yes,no,no,no,no,no
1642423657213979,RM Citra Minang,[ Indonesia ],False,-6.884995,107.619028," Jl. Tubagus Ismail Raya No. 41, Dago Atas, Bandung ", Di bawah Rp. 50.000 /orang ,3.8,5.0,4.0,3.0,4.0,3.0,Senin - Minggu (10:00 - 23:00),Tunai,no,no,yes,no,no,yes,no,no,no,no,no
1642423658627375,MCCF (Mulya Cirebon Chinese Food),[ China ],False,-6.884143,107.614768," Jl. Tubagus Ismail Raya No. 2D, Dago Atas, Bandung ", Di bawah Rp. 50.000 /orang ,3.8,5.0,4.0,3.0,4.0,3.0,Senin - Minggu (10:00 - 24:00),"Tunai,Ovo",no,no,yes,no,no,yes,no,yes,no,no,no
1642423660447254,Martabak Legit Group,[ Indonesia ],False,-6.902064,107.608084," Jl. Tamansari No. 7, Dago Bawah, Bandung ", Di bawah Rp. 50.000 /orang ,3.8,5.0,4.0,3.0,3.0,4.0,Senin - Minggu (16:00 - 23:00),Tunai,no,no,yes,no,no,yes,no,no,no,no,no
1642423661972936,Warteg Mba Reni,[ Indonesia ],False,-6.88509,107.617137," Jl. Tubagus Ismail Raya No. 8, Dago Atas, Bandung ", Di bawah Rp. 50.000 /orang ,3.8,4.0,4.0,5.0,3.0,3.0,Senin - Minggu (08:00 - 22:00),Tunai,no,no,yes,no,no,yes,no,no,no,no,no
1642423663617057,Sangucitel,[ Indonesia ],False,-6.898722,107.608968," Balubur Town Square, Lantai 3, The Kiosk Food Market Jl. Tamansari No. 33, Dago Bawah, Bandung ", Di bawah Rp. 50.000 /orang ,3.5,3.5,4.0,3.5,3.5,3.0,Senin - Minggu (10:30 - 18:30),"Tunai,Visa,Master,Debet",yes,no,yes,yes,no,yes,no,yes,yes,no,no
1642423665348841,CFC,,False,-6.890129,107.60764," Kebun Binatang Bandung Jl. Tamansari, Dago Bawah, Bandung ", Di bawah Rp. 50.000 /orang ,3.8,4.0,5.0,3.0,3.0,4.0,Senin - Minggu (08:00 - 16:00),"Tunai,Debet",no,no,yes,yes,no,yes,no,no,yes,no,no
1642423666792062,Kopitema Nusantara,[ Kafe ],False,-6.887015043579408,107.62," Jl. Tubagus Ismail Raya No. 15, Dago Atas, Bandung ", Di bawah Rp. 50.000 /orang ,4.0,4.0,3.0,5.0,4.0,4.0,Senin - Minggu (10:00 - 20:00),"Tunai,Visa,Master,Debet,Go-pay,Ovo",yes,no,yes,yes,no,yes,no,yes,yes,no,no
1642423668668093,Martabak Special Lucky,[ Indonesia ],False,6.2087634,106.84559899999," Jl. Tamansari, Dago Bawah, Bandung ", Di bawah Rp. 50.000 /orang ,4.0,5.0,3.0,3.0,5.0,4.0,not listed,Tunai,not sure,not sure,yes,no,no,yes,no,no,no,no,no
1642423670054834,Bakso Barokah 186,[ Indonesia ],False,-6.873474,107.613746," Jl. Cisitu Indah VI No. 186, Dago Atas, Bandung ", Di bawah Rp. 50.000 /orang ,4.0,3.0,3.0,5.0,5.0,4.0,"Senin - Kamis (11:00 - 21:00), Sabtu - Minggu (11:00 - 21:00), Jumat Tutup","Tunai,Go-pay,Ovo",yes,no,yes,no,no,yes,no,yes,no,no,no
1642423671197292,Scenery Bar & Lounge - The Jayakarta Suites,"[ Barat,Indonesia ]",False,-6.870857,107.619575," The Jayakarta Suites Jl. Ir. H. Juanda No. 381A, Dago Atas, Bandung ", Rp. 100.000 - Rp. 200.000 /orang ,4.0,4.0,4.0,3.0,4.0,5.0,Senin - Mingu (10:00 - 23:00),"Tunai,Visa,Master,Debet",yes,no,yes,no,no,yes,no,yes,yes,yes,no
1642423672583545,Senemu 2.2,[ Kafe ],True,-6.875158,107.618908," Jl. Ir. H. Juanda No. 374, Dago Atas, Bandung ", Di bawah Rp. 50.000 /orang ,3.5,3.5,3.5,4.0,4.0,2.5,"Senin (10:00 - 22:00), Rabu - Kamis (10:00 - 22:00), Jumat - Minggu (10:00 - 23:00), Selasa Tutup","Tunai,Debet",yes,no,yes,yes,no,yes,no,yes,yes,no,no
1642423674442317,Kue Balok Parikesit,[ Indonesia ],False,-6.904125,107.608283," Jl. Tamansari (Seberang Unisba), Dago Bawah, Bandung ", Di bawah Rp. 50.000 /orang ,3.47,3.7,3.0,3.3,3.7,3.7,Senin - Minggu (10:00 - 18:00),Tunai,no,no,yes,no,no,yes,no,no,no,no,no
1642423676569842,Martabak Al Yaman,[ Indonesia ],False,-6.883313,107.611292," Jl. Cisitu Lama (Samping Kecamatan Coblong), Dago Atas, Bandung ", Di bawah Rp. 50.000 /orang ,3.8,5.0,3.0,4.0,4.0,3.0,Senin - Minggu (16:00 - 24:00),Tunai,no,no,yes,no,no,yes,no,no,no,no,no
164242367796045,Surabi Cihapit,[ Indonesia ],False,-6.875096,107.618934," Jl. Ir. H. Juanda No. 374, Dago Atas, Bandung ", Di bawah Rp. 50.000 /orang ,3.8,5.0,3.0,4.0,4.0,3.0,Senin - Minggu (08:00 - 22:00),"Tunai,Go-pay,Ovo",no,no,yes,no,no,yes,no,no,yes,no,no
1642423679485079,Point Cafe,[ Kafe ],False,-6.88529,107.618724," Indomaret Jl. Tubagus Ismail Raya No. 32, Dago Atas, Bandung ", Di bawah Rp. 50.000 /orang ,3.8,4.0,4.0,4.0,4.0,3.0,Senin - Minggu (07:00 - 23:00),"Tunai,Visa,Master,Debet",no,no,yes,yes,no,yes,no,no,yes,no,no
1642423681298097,HokBen (Hoka Hoka Bento) Express,,False,-6.893916,107.613651," RS Santo Borromeus, Gedung Irene, Lantai Semi Basement, Foodcourt Jl. Ir. H. Juanda No. 100, Dago Bawah, Bandung ", Rp. 50.000 - Rp. 100.000 /orang ,3.8,5.0,3.0,4.0,3.0,4.0,Senin - Minggu (09:00 - 20:00),"Tunai,Visa,Master,Debet",no,no,no,no,no,yes,no,no,yes,no,no
1642423682807325,Ayam Goreng dan Bakar Pringgodani,[ Indonesia ],False,-6.879859,107.616177," Jl. Ir. H. Juanda No. 275, Dago Atas, Bandung ", Di bawah Rp. 50.000 /orang ,3.8,5.0,3.0,4.0,4.0,3.0,Senin - Minggu (08:00 - 21:00),"Tunai,Debet,Ovo",no,yes,yes,no,no,yes,no,yes,yes,no,no
1642423684575865,Dreezel Coffee,[ Kafe ],False,-6.884197892171208,107.6," Jl. Tubagus Ismail Raya No. 7, Dago Atas, Bandung ", Di bawah Rp. 50.000 /orang ,3.8,4.0,4.0,4.0,3.0,4.0,not listed,Tunai,not sure,not sure,not sure,not sure,not sure,yes,not sure,not sure,not sure,no,no
1642423685716951,Warung Dalaraos,[ Indonesia ],False,-6.88445,107.606243," Jl. Siliwangi No. 43, Dago Bawah, Bandung ", Di bawah Rp. 50.000 /orang ,3.6,4.0,3.0,3.0,4.0,4.0,Senin - Minggu (08:00 - 17:00),"Tunai,Debet",no,no,yes,no,no,yes,no,yes,yes,no,no
1642423688968141,Bubur Ayam Pak Zaenal,[ Indonesia ],False,-6.88303,107.614989," Jl. Ir. H. Juanda No. 244, Dago Atas, Bandung ", Di bawah Rp. 50.000 /orang ,3.33,4.0,3.3,3.3,3.3,2.7,Senin - Minggu (06:00 - 24:00),"Tunai,Ovo",no,no,yes,no,no,yes,no,no,no,no,no
1642423691103409,Seafood Kanayakan,[ Indonesia ],False,-6.877668,107.618127," Jl. Kanayakan No. 344/3, Dago Atas, Bandung ", Di bawah Rp. 50.000 /orang ,3.4,3.5,3.5,4.5,2.5,3.0,"Senin - Kamis (11:30 - 22:30), Jumat (15:00 - 22:30), Sabtu (11:30 - 22:30), Minggu Tutup",Tunai,no,no,yes,no,no,yes,no,no,no,no,no
1642423692952428,HokBen (Hoka Hoka Bento),,False,-6.898701,107.609097," Balubur Town Square, Lantai 1 Jl. Tamansari No. 33, Dago Bawah, Bandung ", Rp. 50.000 - Rp. 100.000 /orang ,3.3,4.0,3.0,3.3,3.3,3.0,Senin - Minggu (10:00 - 21:00),"Tunai,Visa,Master,Debet",no,no,yes,no,no,yes,no,no,yes,no,no
1642423695348593,Waroeng Cobek Aneka,[ Indonesia ],False,-6.879705,107.612088," Jl. Cisitu Lama No. 54A, Dago Atas, Bandung ", Di bawah Rp. 50.000 /orang ,3.33,4.0,2.7,4.0,3.0,3.0,Senin - Minggu (10:00 - 22:00),Tunai,no,no,yes,no,no,yes,no,no,no,no,no
1642423697207681,Kantin Citra Bahari,[ Indonesia ],False,-6.884361,107.614863," Jl. Tubagus Ismail Raya No. 2H, Dago Atas, Bandung ", Di bawah Rp. 50.000 /orang ,3.8,4.0,3.0,5.0,3.0,4.0,Senin - Minggu (08:00 - 24:00),Tunai,no,no,yes,no,no,yes,no,no,no,no,no
1642423698527033,Merawat Kopi,[ Kafe ],False,-6.885712,107.61896," Jl. Ciheulang Baru I No. 12, Dago Atas, Bandung ", Di bawah Rp. 50.000 /orang ,3.8,4.0,3.0,5.0,4.0,3.0,Senin - Minggu (11:00 - 02:00),Tunai,no,no,yes,no,no,yes,no,no,no,no,no
1642423700237483,Pizza Hut Delivery (PHD),,False,-6.877541,107.617396," Jl. Ir. H. Juanda No. 342, Dago Atas, Bandung ", Rp. 50.000 - Rp. 100.000 /orang ,3.8,5.0,3.0,3.0,4.0,4.0,Senin - Minggu (10:00 - 02:00),"Tunai,Visa,Master,Debet,Go-pay,Ovo",yes,yes,yes,yes,no,yes,no,yes,yes,no,no
1642423701628937,Dapur Oseng Mercon Unisba,[ Indonesia ],False,-6.903667,107.608343," Jl. Tamansari, Dago Bawah, Bandung ", Di bawah Rp. 50.000 /orang ,3.8,4.0,3.0,5.0,5.0,2.0,not listed,Tunai,not sure,not sure,not sure,not sure,no,yes,not sure,not sure,not sure,no,no
1642423702718447,North Dago Cafe - The Jayakarta Suites,"[ Barat,Indonesia ]",False,-6.870857,107.619575," The Jayakarta Suites Jl. Ir. H. Juanda No. 381A, Dago Atas, Bandung ", Rp. 100.000 - Rp. 200.000 /orang ,3.8,4.0,4.0,3.0,4.0,4.0,Senin - Minggu (06:00 - 23:00),"Tunai,Visa,Master,Debet",yes,no,yes,no,no,yes,no,yes,yes,yes,no
1642423704347931,Lumens Kopi Masjid,[ Kafe ],False,-6.894549589488675,107.61," Jl. Gelap Nyawang No. 4 (Selasar Selatan Kompleks Masjid Salman ITB), Dago Bawah, Bandung ", Di bawah Rp. 50.000 /orang ,3.8,4.0,4.0,3.0,4.0,4.0,Senin - Minggu (08:00 - 20:00),"Tunai,Debet,Go-pay,Ovo",yes,no,yes,yes,no,yes,no,yes,yes,no,no
1642423705682818,Nasi Goreng Mas Danang,[ Indonesia ],False,-6.901278,107.615568," Jl. Diponegoro (Depan Gedung PPPPTK IPA), Dago Bawah, Bandung ", Di bawah Rp. 50.000 /orang ,3.8,4.0,4.0,3.0,4.0,4.0,Senin - Minggu (19:00 - 01:00),Tunai,no,no,yes,no,no,yes,no,no,no,no,no
1642423707107168,Spicywon Korean Street Food,[ Korea ],False,-6.904205923452222,107.6," Jl. Tamansari Bawah No. 1, Dago Bawah, Bandung ", Di bawah Rp. 50.000 /orang ,3.5,4.0,2.5,4.0,4.0,3.0,Senin - Minggu (12:00 - 19:00),Tunai,no,no,yes,no,no,yes,no,no,no,no,no
1642423708809197,Prabhu Indian Food & Kebuli,[ India ],False,-6.899258,107.615081," Jl. Prabu Dimuntur No. 18, Dago Bawah, Bandung ", Rp. 50.000 - Rp. 100.000 /orang ,4.0,4.0,3.0,3.0,5.0,5.0,"Senin - Jumat (11:00 - 19:30), Sabtu - Minggu (11:00 - 20:30)","Tunai,Visa,Master,Debet,Go-pay,Ovo,Dana",yes,no,yes,yes,no,yes,no,yes,yes,yes,no
1642423710146631,Go Milk,[ Minuman ],False,-6.893449,107.61147," Jl. Ganeca (Depan Masjid Salman ITB), Dago Bawah, Bandung ", Di bawah Rp. 50.000 /orang ,3.6,5.0,3.0,4.0,3.0,3.0,Senin - Minggu (10:00 - 18:00),Tunai,no,no,yes,no,no,yes,no,no,no,no,no
1642423711641571,Nasi Goreng Ghusti 69,[ Indonesia ],False,-6.878765,107.609267," Jl. Sangkuriang Dalam (Dekat Asrama ITB Sangkuriang), Dago Atas, Bandung ", Di bawah Rp. 50.000 /orang ,3.6,5.0,3.0,4.0,3.0,3.0,Senin - Minggu (16:00 - 03:00),"Tunai,Go-pay,Ovo",no,no,yes,no,no,yes,no,no,no,no,no
1642423712916594,Roti Boss,[ Indonesia ],False,-6.904054,107.608303," Jl. Tamansari (Seberang Unisba), Dago Bawah, Bandung ", Di bawah Rp. 50.000 /orang ,3.6,4.0,4.0,4.0,3.0,3.0,"Senin - Sabtu (07:00 - 18:00), Minggu Tutup",Tunai,no,no,yes,no,no,yes,no,no,no,no,no
1642423714353683,Kantin Tegal Abadi,[ Indonesia ],False,-6.877143,107.617642," Jl. Ir. H. Juanda No. 346 (Depan Dago Show Car Wash), Dago Atas, Bandung ", Di bawah Rp. 50.000 /orang ,3.6,4.0,4.0,4.0,3.0,3.0,24 Jam,Tunai,no,no,yes,no,yes,yes,no,no,no,no,no
1642423715803071,Warung Nasi Uduk 86,[ Indonesia ],False,-6.89346,107.611515," Jl. Ganeca (Depan Masjid Salman), Dago Bawah, Bandung ", Di bawah Rp. 50.000 /orang ,3.6,3.0,5.0,4.0,3.0,3.0,Senin - Minggu (17:00 - 24:00),Tunai,no,no,yes,no,no,yes,no,no,no,no,no
1642423717288924,Bossku Culinary,[ Indonesia ],False,-6.885951,107.622729," Jl. Tubagus Ismail No. 86, Dago Atas, Bandung ", Di bawah Rp. 50.000 /orang ,3.8,4.0,2.0,5.0,4.0,4.0,Senin - Minggu (16:00 - 24:00),Tunai,no,no,yes,no,no,yes,no,no,yes,no,no
1642423718913239,Warung Baksil,[ Indonesia ],True,-6.885441,107.610435," Jl. Siliwangi Dalam (Samping Kantor Kelurahan), Dago Bawah, Bandung ", Di bawah Rp. 50.000 /orang ,3.6,4.0,5.0,2.0,4.0,3.0,Senin - Minggu (08:00 - 24:00),Tunai,no,no,yes,no,no,yes,no,no,yes,no,no
1642423720340656,Sate Taichan Goreng,[ Indonesia ],True,-6.900945,107.608719," Jl. Tamansari No. 19A, Dago Bawah, Bandung ", Di bawah Rp. 50.000 /orang ,3.15,3.7,3.2,2.6,3.1,3.1,Senin - Minggu (10:00 - 21:00),"Tunai,Debet",no,no,no,no,no,yes,no,yes,yes,no,no
1642423725285606,Surya Bundo,[ Indonesia ],False,-6.873374,107.619641," Jl. Ir. H. Juanda No. 400, Dago Atas, Bandung ", Di bawah Rp. 50.000 /orang ,3.4,4.0,3.0,3.5,3.0,3.5,"Senin - Sabtu (14:00 - 02:00), Minggu Tutup",Tunai,no,no,yes,no,no,yes,no,no,no,no,no
1642423726981953,FOW Food On Wall,[ Kafe ],False,-6.90530969192344,107.61," Jl. Ir. H. Juanda No. 8, Dago Bawah, Bandung ", Di bawah Rp. 50.000 /orang ,3.4,4.0,3.0,3.5,2.5,4.0,"Senin (11:00 - 19:00), Rabu - Minggu (11:00 - 19:00), Selasa Tutup","Tunai,Visa,Master,Debet,Go-pay",yes,no,yes,yes,no,yes,no,yes,yes,no,no
1642423728964973,Mie Kocok Kebon Jukut,[ Indonesia ],False,-6.898722,107.608968," Balubur Town Square, Lantai 3, The Kiosk Food Market Jl. Tamansari No. 33, Dago Bawah, Bandung ", Di bawah Rp. 50.000 /orang ,3.8,4.0,3.0,4.0,4.0,4.0,Senin - Minggu (10:30 - 18:30),"Tunai,Visa,Master,Debet",yes,no,yes,yes,no,yes,no,yes,yes,no,no
1642423730053704,Bubur Temuru,[ Indonesia ],False,-6.880506,107.616334," Jl. Ir. H. Juanda No. 278, Dago Bawah, Bandung ", Di bawah Rp. 50.000 /orang ,3.8,4.0,3.0,4.0,4.0,4.0,Senin - Minggu (14:30 - 20:30),Tunai,not sure,not sure,not sure,no,no,yes,no,not sure,no,no,no
1642423732680865,Daily Box,,False,-6.899676,107.610163," Graha Persib Jl. Sulanjana No. 17, Dago Bawah, Bandung ", Di bawah Rp. 50.000 /orang ,3.8,4.0,3.0,4.0,4.0,4.0,not listed,Tunai,not sure,not sure,not sure,not sure,not sure,yes,not sure,not sure,not sure,no,no
1642423734326853,Bennana,[ Indonesia ],False,-6.887174,107.623466," Jl. Tubagus Ismail Raya No. 7, Dago Atas, Bandung ", Di bawah Rp. 50.000 /orang ,3.8,4.0,3.0,4.0,4.0,4.0,not listed,Tunai,not sure,not sure,not sure,not sure,not sure,yes,not sure,not sure,not sure,no,no
164242373593666,Ipok Aleuh,[ Kafe ],False,-6.841827725747738,107.65," Jl. Bukit Pakar Utara No. 150, Dago Atas, Bandung ", Di bawah Rp. 50.000 /orang ,3.8,4.0,3.0,4.0,4.0,4.0,"Selasa - Minggu (10:00 - 22:00), Senin Tutup",Tunai,no,no,yes,yes,no,yes,no,no,yes,no,no
